Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI  July,2020   Put   30/07/2020   1,590",,"1,590.00",1590,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,15.30,15.80,0.00
"OKLI  July,2020   Put   30/07/2020   1,600",,"1,600.00",1600,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,20.20,21.30,0.00
"OKLI  July,2020   Put   30/07/2020   1,610",,"1,610.00",1610,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,25.90,27.80,0.00
"OKLI  July,2020   Put   30/07/2020   1,620",,"1,620.00",1620,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,32.40,35.20,0.00
"OKLI  July,2020   Put   30/07/2020   1,630",,"1,630.00",1630,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,33.00,43.30,0.00
"OKLI  July,2020   Put   30/07/2020   1,640",,"1,640.00",1640,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,47.60,52.00,0.00
"OKLI  July,2020   Put   30/07/2020   1,650",,"1,650.00",1650,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,56.10,61.20,0.00
"OKLI  July,2020   Put   30/07/2020   1,660",,"1,660.00",1660,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,65.00,70.60,0.00
"OKLI  July,2020   Put   30/07/2020   1,670",,"1,670.00",1670,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,74.30,80.30,0.00
"OKLI  August,2020   Put   28/08/2020   1,440",,"1,440.00",1440,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,0.60,0.30,0.00
"OKLI  August,2020   Put   28/08/2020   1,450",,"1,450.00",1450,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,0.80,0.40,0.00
"OKLI  August,2020   Put   28/08/2020   1,460",,"1,460.00",1460,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,1.20,0.70,0.00
"OKLI  August,2020   Put   28/08/2020   1,470",,"1,470.00",1470,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,1.70,1.00,0.00
"OKLI  August,2020   Put   28/08/2020   1,480",,"1,480.00",1480,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,2.30,1.50,0.00
"OKLI  August,2020   Put   28/08/2020   1,490",,"1,490.00",1490,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,3.20,2.10,0.00
"OKLI  August,2020   Put   28/08/2020   1,500",,"1,500.00",1500,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,4.20,3.00,0.00
"OKLI  August,2020   Put   28/08/2020   1,510",,"1,510.00",1510,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,5.60,4.20,0.00
"OKLI  August,2020   Put   28/08/2020   1,520",,"1,520.00",1520,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,7.20,5.70,0.00
"OKLI  August,2020   Put   28/08/2020   1,530",,"1,530.00",1530,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,9.20,7.60,0.00
"OKLI  August,2020   Put   28/08/2020   1,540",,"1,540.00",1540,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,11.60,9.90,0.00
"OKLI  August,2020   Put   28/08/2020   1,550",,"1,550.00",1550,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,14.40,12.70,0.00
"OKLI  August,2020   Put   28/08/2020   1,560",,"1,560.00",1560,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,17.70,16.00,0.00
"OKLI  August,2020   Put   28/08/2020   1,570",,"1,570.00",1570,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,21.50,19.90,0.00
"OKLI  August,2020   Put   28/08/2020   1,580",,"1,580.00",1580,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,25.70,24.40,0.00
"OKLI  August,2020   Put   28/08/2020   1,590",,"1,590.00",1590,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,30.50,29.50,0.00
"OKLI  August,2020   Put   28/08/2020   1,600",,"1,600.00",1600,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,35.80,35.10,0.00
"OKLI  August,2020   Put   28/08/2020   1,610",,"1,610.00",1610,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,41.60,41.40,0.00
